Opinion_Phrases,Relevant_Words,Sentiment_Expressions,Aspect,Product,Sentiment,Reviews
drops keystrokes,"Sitting, found, drops",5th,keys,keyboard,NEGATIVE,Sitting about 10 ft away from the computer I found that it   drops keystrokes   about every 5th input.  
keys are now halfsized,"are, hit","halfsized, harder",keys,keyboard,NEGATIVE,"Also, these   keys are now halfsized  , and therefore harder to hit.  "
keys are designed very cheaply,"are, designed, take, repeated, are, handed","great, heavy",keys,keyboard,NEGATIVE,"All the   keys are designed very cheaply   and will not take a great deal of repeated use, especially if you are heavy handed.  "
keys in this keyboard are a bit small,"Comparing, is, are, hit","previous, logitech, small, harder",keys,keyboard,NEGATIVE,"Comparing with my previous one, which is also logitech, the   keys in this keyboard are a bit small   and harder to hit.  "
failing keys,"discarded, replaced, failing",due,keys,keyboard,NEGATIVE,I already discarded one and replaced it due to   failing keys  .  
failed keys,"ve, had, have, had, failed, is",difficult,keys,keyboard,NEGATIVE,"Ive had about 3 so far, and some have had   failed keys   (the ALT key sometimes is difficult to press).  "
squishedtogether arrow keys,"agree, regarding, changed","other, negative, smaller, smaller",keys,keyboard,NEGATIVE,"I agree with the other negative reviews regarding the smaller size and changed arrangement of the InsertHome keys, and the smaller   squishedtogether arrow keys  .  "
keys just dont respond,"Typing, be, be, typing, do, respond, chooses","certain, same, sporadic",keys,keyboard,NEGATIVE,"Typing can be quite a chore, you will be typing along and then certain   keys just dont respond  , not always the same key and quite sporadic to which one(s) it chooses.  "
keys are clunky feeling,"is, are","light, clunky",keys,keyboard,NEGATIVE,The keyboard is so lightflimsy and the   keys are clunky feeling  .  
keys are so hard to depress,"is, are, depress","horrible, repetitive, hard",keys,keyboard,NEGATIVE,This keyboard is horrible for people with repetitive stress injuries because the   keys are so hard to depress  .  
keys give the illusion of sturdiness,"m, was, thinking, push, give, is, irritating, are","sure, harder, prone",keys,keyboard,NEGATIVE,Im not sure what the manufacturer was thinking (maybe harder to push   keys give the illusion of sturdiness  ) but it is irritating for wrists that are already prone to inflammation.  
squishedtogether arrow keys,"agree, regarding, changed","other, negative, smaller, smaller",keys,keyboard,NEGATIVE,"I agree with the other negative reviews regarding the smaller size and changed arrangement of the InsertHome keys, and the smaller   squishedtogether arrow keys  .  "
keys themselves are hard plastic,"are, feel, pressed","hard, mushy",keys,keyboard,NEGATIVE,The   keys themselves are hard plastic   but they feel mushy when pressed.  
keys are glossy and hard,"are, compared, is, shown","glossy, hard",keys,keyboard,NEGATIVE,"The   keys are glossy and hard  , compared to what is shown here.  "
keys are very difficult to type,"are, compared, m, used, using","difficult, TMobile, daily",keys,keyboard,NEGATIVE,"Regardless, the   keys are very difficult to type   on compared to the TMobile G2 keyboard that Im used using on a daily basis.  "
get use to the smaller keys,"take, get, use",smaller,keys,keyboard,NEGATIVE,It also take a while to   get use to the smaller keys   like the shift and the backspace.  
keys stopped working,"worked, stopped, working, is, use, do, save","great, comfortable",keys,keyboard,NEGATIVE,"it worked great for a while but then the   keys stopped working   for some reason, however the keyboard is very comfortable to use, just dont save up your money for this.  "
keys being too hard to press,"bought, thinking, were, saying, being, was","other, hard",keys,keyboard,NEGATIVE,"I bought this keyboard just a week ago, thinking that what the other reviewers were saying about the   keys being too hard to press   was an exageration.  "
keys are kind of sharp,"feels, are","weird, sharp",keys,keyboard,POSITIVE,this one feels kind of weird as if he   keys are kind of sharp  .  
keys WILL wear off,"have, been, using, seem, have, be, lettering, wear, do","older, few, aware",keys,keyboard,NEGATIVE,"I have been using older microsoft ergo keyboards for years without issues, but these ones seem to have a few issues the buyer should be aware of: *The lettering on the   keys WILL wear off   and do so FAST.  "
keys tend to lose their ability,"tend, lose, stay, centered",larger,keys,keyboard,NEGATIVE,*The larger   keys tend to lose their ability   to stay properly centered.  
keys that feel wobbly,"causes, feel, side, be","wobbly, annoying",keys,keyboard,NEGATIVE,"This causes   keys that feel wobbly   and rock side to side slightly, and it can be quite annoying.  "
keys are very noisy,are,noisy,keys,keyboard,NEGATIVE,The   keys are very noisy  .  
push very hard the keys,"have, push, causes",tired,keys,keyboard,NEGATIVE,"Also, I have to   push very hard the keys   and that causes me tired hands, especially the space bar key.  "
not all keys make good contact,"do, work, work, does, work, is, place, hold, is, make, are, makes, seem, was, built, took, lost","uneven, good, preliminary, inept, hairbrained",keys,keyboard,NEGATIVE,The status lights dont work  The drag and drop wont work  the auto shutoff for the backlighting does not work  the range is 3 feet up to 9 if I place the dongle and hold the keyboard just right  the backlighting is uneven behind the keys    not all keys make good contact    and those are just preliminary observations  the inept lack of ergonomics makes it seem like it was built by a committee of hairbrained wannabe subnerds  I took the chance and lost.  
keys are a nightmare,"is, are","halfresponsive, tiny, little",keys,keyboard,NEGATIVE,"The spacebar is halfresponsive, and the tiny little function, arrow and page   keys are a nightmare  .  "
"""lose"" keys","have, started, lose, require, be, pressed, communicate, recognize","past, few, inordinate",keys,keyboard,NEGATIVE,"Unfortunately, both in the past few weeks have started to   ""lose"" keys   or require that they be pressed for an inordinate amount of time to actually communicate with the controller in the keyboard to recognize :.  "
keys are so awkwardly placed,"was, deceived, started, using, found, are, placed, making, need","stylish, useless",keys,keyboard,NEGATIVE,"I was deceived by its stylish look, and when I started using it, immediately I found that the cursor keys and the page updown, homeend   keys are so awkwardly placed  , making the keyboard virtually useless in OS where you absolutely need those keys  like Windows.  "
polish on the keys to protect them,"tried, painting, protect, did, help",clear,keys,keyboard,NEGATIVE,"In the past, I even tried painting clear nail   polish on the keys to protect them  , but that didnt help much.  "
keys are very slick,"are, slid",slick,keys,keyboard,POSITIVE,The   keys are very slick   and my fingers slid all over the keyboard.  
arrow keys are smaller,"keys, are","smaller, other",keys,keyboard,NEGATIVE,"Not only that, they keys for the   arrow keys are smaller    maybe only 75 of the size of the other keys.  "
keys is just abysmal,"is, have, get, work","abysmal, hard, new",keys,keyboard,NEGATIVE,"Unless the quality of the contact points for the m and i   keys is just abysmal  , I have to stab both hard to get them to work, even with the keyboard new.  "
keys make it hard to type,"need, using, u, know, make",hard,keys,keyboard,NEGATIVE,you actually need to type a document using this and u will know why the   keys make it hard to type  .  
size of most keys,reduce,most,keys,keyboard,NEGATIVE,and reduce   size of most keys  .  
missing an O key,"did, notice, is, missing, have, has, like, m, make","first, willing",keys,keyboard,NEGATIVE,"Oh and I didnt notice it at first but mine is   missing an O key  , I have 2 P keys though so if anyone has my O and would like their P back Im willing to make a trade.  "
keys are nearly impossible to use,"are, use",impossible,keys,keyboard,NEGATIVE,"The arrows   keys are nearly impossible to use  , especially for gaming.  "
keys are all moved in odd positions,"is, staggered, presented, adjust, are, moved","typical, odd",keys,keyboard,NEGATIVE,"The keyboard is not staggered as a typical keyboardthis presented some problems that I could never quite adjust to, and the Control, Escape and Return   keys are all moved in odd positions  .  "
harder to push than other keys,"has, been, stated, is, push","harder, other",keys,keyboard,NEGATIVE,"As has been stated, the spacebar is   harder to push than other keys   and significantly louder.  "
keys have to be smaller,"do, understand, have, be",smaller,keys,keyboard,NEGATIVE,But I dont understand why the   keys have to be smaller  .  
different spacing for keys,"live, spacing","cheap, different",keys,keyboard,NEGATIVE,I can live with cheap feel of the keyboard but not   different spacing for keys  .  
keys feels a little awkward,"Typing, feels, get, use","little, awkward, first, due, vertical, easier",keys,keyboard,NEGATIVE,"Typing on the   keys feels a little awkward   at first due to the vertical layout of the letters, although it gets easier to use with practice.  "
keys are sort of sticky,"are, is, shaped",sticky,keys,keyboard,NEGATIVE,But the   keys are sort of sticky   because of the way it is shaped and the placement of your hands.  
"keys do feel a little ""mushy""","do, feel","little, mushy, tactile, better, such",keys,keyboard,NEGATIVE,"The the   keys do feel a little ""mushy""   without the tactile feedback of some of the better boards, such as those from IBM.  "
easily wear off the keys,"is, wear",biggest,keys,keyboard,NEGATIVE,My biggest complaint is that the letters   easily wear off the keys  .  
keys were very stiff,were,stiff,keys,keyboard,NEGATIVE,The   keys were very stiff  .  
beat on the keys,"spend, using, have, have, is, requires, beat, get, work","great, responsive",keys,keyboard,POSITIVE,"I spend a great deal of time using a keyboard, and I have to have one that is responsive all the time, not one that requires me to   beat on the keys   to get them to work properly.  "
keys also suffer,"has, been, suffer","other, same",keys,keyboard,NEGATIVE,"It has been the space bar mostly, but other   keys also suffer   the same problem.  "
keys stopped working,"was, stopped, working, purchased",terrific,keys,keyboard,POSITIVE,This keyboard was terrific for me until the E and L   keys stopped working   55 days after I purchased it.  
keys started sticking,"do, think, s, ve, cycled, started, sticking, are, m, hitting","better, previous, ergonomic, worn",keys,keyboard,NEGATIVE,"I do think its a generally better layout than the previous versions of Microsoft ergonomic keyboards Ive cycled through, but some of my   keys started sticking   recently, and about half the letters are worn off  the keys Im obviously hitting most often.  "
keystroke doesnt register,"does, register, do, hit, do, find, ve, read, described","right, tired, soft, soft",keys,keyboard,NEGATIVE,"The   keystroke doesnt register   if I dont hit at exactly the right angle on about 5 or 6 keys, and for these tired hands, after 8 or 10 hours at the glo box, I dont find the touch soft enough, even though Ive read it described as soft.  "
missing keystrokes,"missing, tried, press","double, hard",keys,keyboard,NEGATIVE,And sometimes double keystrokes and   missing keystrokes   no matter how hard I tried to cleanly press the keys.  
keys are incredibly hard to press,"are, press, is","hard, noisy, stiff",keys,keyboard,NEGATIVE,"They   keys are incredibly hard to press  , and the spacebar is noisy and stiff.  "
keys are a little stiffer,"are, press, get, flying, fly","little, stiffer",keys,keyboard,NEGATIVE,"The   keys are a little stiffer   to press down but once I get flying, they fly too with ease.  "
keys were a bit too small,were,small,keys,keyboard,NEGATIVE,"However, the   keys were a bit too small   for me to comfortably type on.  "
keys have stopped working,"have, stopped, working",Many,keys,keyboard,NEGATIVE,Many of my   keys have stopped working  .  
keys have quit working,"loved, have, enjoyed, using, have, quit, working",apparent,keys,keyboard,NEGATIVE,"I loved the design of this keyboard and have enjoyed using it, but some of the   keys have quit working   for no apparent reason.  "
keys are also a bit stiff,are,stiff,keys,keyboard,NEGATIVE,The   keys are also a bit stiff  .  
keys got noticeably noisier,"got, removed, was, tell","steady, noisier, hard",keys,keyboard,NEGATIVE,"After about an hour of pretty steady typing, the   keys got noticeably noisier   until when I removed it from service it was hard to tell the difference between it and the others in our office.  "
keys offer a bit more resistance,"is, has, think, offer, m, used","biggest, much, more, other",keys,keyboard,NEGATIVE,The biggest problem is that the space bar has way too much resistancefar more than the other keys although I think all the   keys offer a bit more resistance   than Im used to.  
reach excessively for some keys,"felt, had, reach, enter",y,keys,keyboard,NEGATIVE,"I felt like I had to   reach excessively for some keys  , like ""y,"" ""control,"" and ""enter"".  "
keys) is insufficient,is,insufficient,keys,keyboard,NEGATIVE,Cons: Finger placement detection (ridge on F and J   keys) is insufficient  .  
rub off the keys very quickly,"are, are, press, is, is, are","available, difficult, large, quiet, most, easy",keys,keyboard,NEGATIVE,"Letters   rub off the keys very quickly   and no replacements are available Occasionally keys are difficult to press The keyboard is relatively large Pros:  It is very quiet, most keys are easy to press.  "
keys are not the most responsive,"are, are","responsive, sensitive",keys,keyboard,NEGATIVE,Also the   keys are not the most responsive   and are not sensitive.  
failed on one of the keys,"was, use, failed","comfortable, key",keys,keyboard,NEGATIVE,this was a comfortable keyboard to use until the membrane key backings   failed on one of the keys  .  
keys are weird,"are, make, typing","weird, long",keys,keyboard,NEGATIVE,The   keys are weird   and make typing for a long time a hassle.  
keys are bigger,are,bigger,keys,keyboard,POSITIVE,Some   keys are bigger   than others!  
keys on the keyboard did not work properly,"did, work, required, register",multiple,keys,keyboard,NEGATIVE,Some of the   keys on the keyboard did not work properly   and required multiple hits to register.  
keys doesnt give you the response,"do, dislike, pushing, does, give, do","extra, other, better",keys,keyboard,NEGATIVE,"While the keyboard 100 works (and the extra functions do also), I really dislike that pushing down on the   keys doesnt give you the response   that some of the other better MS keyboards do also.  "
keys is noisy,"feels, depressing, is","noisy, unpleasant",keys,keyboard,NEGATIVE,"The hand position feels just right, but depressing the   keys is noisy   and unpleasant.  "
keys on the one I own stopped working,"own, stopped, working","Certain, less, light",keys,keyboard,NEGATIVE,Certain   keys on the one I own stopped working   after less than a month of light use.  
bad keys working,"managed, take, get, working, knows, be","bad, necessary",keys,keyboard,NEGATIVE,"I managed to take it apart and get the  bad keys working  , but who knows how often that will be necessary.  "
wearing out many keys,"using, wearing, work, wanted, try, divided, go, had","many, medical, little, expensive",keys,keyboard,NEGATIVE,"After using a Logitech Ergonomic keyboard and   wearing out many keys   (I work as a medical transcriptionist), I wanted to try the divided keyboard and go a little less expensive than the model of Logitech I had.  "
Loud keys are a serious issue,"are, sent, exchanged","Loud, serious",keys,keyboard,NEGATIVE,"  Loud keys are a serious issue  , but I sent this back and exchanged it because of issues with the spacebar.  "
keys mysteriously died,"lasted, died","previous, great, acceptable",keys,keyboard,NEGATIVE,"My previous one lasted two years before   keys mysteriously died    not great longevity, but acceptable.  "
keys on the right side just died on me,died,"multiple, right",keys,keyboard,NEGATIVE,"Today multiple   keys on the right side just died on me  , seemingly out of nowhere.  "
keys felt a little gummy,"liked, having, keys, reduced, mousing, had, do, was, press, felt","hard, little",keys,keyboard,POSITIVE,"I liked having the shortcut keys that reduced the amount of mousing I had to do, but the spacebar was hard to press and the   keys felt a little gummy  .  "
keys at different heights,is,"curved, different",keys,keyboard,POSITIVE,The curved keyboard with   keys at different heights   is a pain in the butt.  
keys at various heights,"Typing, is, slows","difficult, various",keys,keyboard,NEGATIVE,Typing  is quite difficult with the   keys at various heights   it actually slows me down.  
keys fade to the point,"had, fade, being, determine, was","previous, able",keys,keyboard,NEGATIVE,Every one of the previous keybords had the   keys fade to the point   of not being able to determine what the key was.  
Fuction keys are too small,"works, were, popped, Do, think, was, Feels, are, is","Ergonomic, key, only, cheap, small",keys,keyboard,NEGATIVE,Pros: Ergonomic layout It works (for now) Cons: Tilt and Spacebar key were popped out on arrival (Dont think I was the only one with this experience) Stiff Keys Feels cheap   Fuction keys are too small   Comments: What is up with microsofts quality control?  
keys feel real cheap,"feel, do, think, last","real, cheap",keys,keyboard,NEGATIVE,"The board and   keys feel real cheap  , I dont even think this keyboard will last 2 years.  "
keys on this board arent spaced out,"are, spaced, feel",real,keys,keyboard,NEGATIVE,"The   keys on this board arent spaced out   enough, and they also feel real stiff.  "
key is bigger too than normal keys,"is, magnifies","bigger, normal",keys,keyboard,NEGATIVE,The   key is bigger too than normal keys   which magnifies the problem.  
keys on the keyboard are pretty loose,"is, be, are","small, comfortable",keys,keyboard,NEGATIVE,The mouse is way to small to be comfortable and the   keys on the keyboard are pretty loose  .  
keys felt tight,felt,"other, tight",keys,keyboard,NEGATIVE,The other   keys felt tight   as well.  
keys were sticky and noisy,"were, stuck, was, struck","sticky, noisy, fifth",keys,keyboard,NEGATIVE,"However, the   keys were sticky and noisy  , and the spacebar stuck about every fifth time it was struck.  "
keys were too stiff,"were, do, remember, required",stiff,keys,keyboard,NEGATIVE,The   keys were too stiff  ; I dont remember any keyboards that required breakin periods.  
keys have to be pressed harder,"have, be, pressed, do, find","harder, most, tired, normal",keys,keyboard,NEGATIVE,"The   keys have to be pressed harder   than most keyboards, so I do find my fingers a little more tired than normal.  "
keys are stiff,"are, is","stiff, stiff",keys,keyboard,NEGATIVE,"The   keys are stiff  , and the spacebar is agonizingly stiff.  "
difficult to type due to the placement of the keys,"am, enjoying, am, finding","new, such, programmable, difficult, due",keys,keyboard,NEGATIVE,"While I am enjoying some of the features of my new keyboard, such as the programmable buttons, I am still finding it   difficult to type due to the placement of the keys  .  "
hard touch of the keys,"am, having, is","worst, hard",keys,keyboard,NEGATIVE,"The worst problem I am having is with the   hard touch of the keys  , especially the space bar.  "
keys has come off,"has, come, are, know, are, looking","white, most, blank",keys,keyboard,NEGATIVE,The white lettering on the   keys has come off   and now most of the keys are just blank (luckily I know where keys are without looking down).  
keys are not as soft or quiet,"is, are","noisy, soft, quiet",keys,keyboard,NEGATIVE,"The keyboard is noisy, the   keys are not as soft or quiet  .  "
keys are unusually small,"are, is, weired",small,keys,keyboard,NEGATIVE,"The arrow   keys are unusually small  , and the arrangement is weired.  "
keys are a little noisy,"are, like","little, noisy",keys,keyboard,NEGATIVE,The keyboard   keys are a little noisy   which in my case I like.  
keys not registering,"have, experienced, registering, has, resolved","intermittent, several",keys,keyboard,NEGATIVE,I have also experienced  intermittent problems with several   keys not registering   regardless of strike force; a problem that up to now has resolved itself inexplicably.  
keys that require the pinky finger,"m, having, striking, require","outside, pinky",keys,keyboard,NEGATIVE,"Im having a lot of difficulty striking the ""x"" and the outside   keys that require the pinky finger   (hand size issue?  "
keys are not pressed as smoothly,"are, pressed",big,keys,keyboard,NEGATIVE,big keys like space bar and shift   keys are not pressed as smoothly   as others 2.  
keys are not lit,"are, lit, is, see, takes, is","functional, difficult",keys,keyboard,NEGATIVE,functional keys like custom   keys are not lit   that it is difficult to see & software takes is a resource hog.  
keys are very soft,"tend, like, have, feel, are",soft,keys,keyboard,NEGATIVE,"As for the keyboard itself, I tend to like my keys to have a springy feel to them, but these   keys are very soft  .  "
keys are EXTREMELY SOFT TOUCH,"does, keep, are",SOFT,keys,keyboard,POSITIVE,"WHile it does keep your wrists straight, the   keys are EXTREMELY SOFT TOUCH  .  "
keys is unnatural,"is, hit, needed, press, is","easy, multiple, unnatural",keys,keyboard,NEGATIVE,"It is too easy to hit multiple keys, and the force needed to press the space bar and some of the   keys is unnatural  .  "
lot of unneeded keys,"is, has","black, okay, unneeded, big",keys,keyboard,NEGATIVE,This black 4000 board is okay but it has a   lot of unneeded keys    no big deal.  
keys didnt work,"did, work, purchased","extra, first",keys,keyboard,NEGATIVE,The extra   keys didnt work   on the first MS keyboard I purchased.  
keys are clunky,"are, have, pound",clunky,keys,keyboard,NEGATIVE,"The   keys are clunky  , and you practically have to pound on them.  "
keys died,died,many,keys,keyboard,NEGATIVE,"Like so many others, some of my   keys died   after a year or two.  "
keys stopped working,"stopped, working, colon","several, light",keys,keyboard,NEGATIVE,But after 6 months or so several   keys stopped working   (colonsemicolon  some keypad keys) despite only light use and no spills.  
failed keys,"m, experiencing, failed",only,keys,keyboard,NEGATIVE,Apparently Im far from the only one experiencing   failed keys  .  
keys suddenly stopped working,"stopped, working",Several,keys,keyboard,NEGATIVE,Several   keys suddenly stopped working  .  
keys were not as comfortable,"found, were, hit, had, hoped",comfortable,keys,keyboard,NEGATIVE,I also found that the   keys were not as comfortable   to hit over time as I had hoped.  
keys dont have any feedback,"do, have, are","more, less, sensitive",keys,keyboard,NEGATIVE,"The   keys dont have any feedback  , and there are some more and less sensitive keys.  "
keys have quite a long travel,"are, is, have","spongy, long",keys,keyboard,NEGATIVE,"For those that are touch typists, the feel of the keyboard is spongy, rather than springy, and the   keys have quite a long travel  .  "
keystroke requires a firm press,"requires, is, defined",firm,keys,keyboard,NEGATIVE,"Each   keystroke requires a firm press  , and the ""snapover"" is poorly defined.  "
not all of the keys work,"is, work",sluggish,keys,keyboard,NEGATIVE,"But now, the touchpad is sluggish and   not all of the keys work  .  "
sizes of the keys are uneven,"is, expect, be, are",uneven,keys,keyboard,NEGATIVE,"None of the keys is exactly where I expect it to be, and the   sizes of the keys are uneven  .  "
keys were not registering,"Found, were, registering",certain,keys,keyboard,NEGATIVE,Found out certain   keys were not registering  .  
keys stick,"typing, stick, enter, fail, respond",other,keys,keyboard,NEGATIVE,"When typing, sometimes the   keys stick   and enter two or three times, other times they fail to respond at all.  "
keys on this very keyoard are dead,"are, is, ecause, are",dead,keys,keyboard,NEGATIVE,"If there are typos in this message, it is ecause some of the   keys on this very keyoard are dead   now.  "
spreads the keys out too much   lose sight of half the keys,"m, fingered, is, slows, typing, pluss, need, causes, lose, lit","big, middle, much, middle, opposite, visual",keys,keyboard,NEGATIVE,"Im a two fingered typist na the ergo design is too big and the hump in the middle   spreads the keys out too much   and slows my type of typing down,  pluss the hump in the middle causes you to need light on two sides of the keyboard light on only one side causes shadows on the opposite side, if your a visual typist like me you   lose sight of half the keys   in a dimly lit room.  "
keys quit working,"quit, working, had, break","Certain, old",keys,keyboard,NEGATIVE,Certain   keys quit working  and had to break out the old keyboard.  
keys are way too small,"are, have","small, nonstandard",keys,keyboard,NEGATIVE,The arrow   keys are way too small   and have nonstandard placement.  
keys are also much smaller,are,smaller,keys,keyboard,NEGATIVE,"The function keys and the home, end, pageup, pagedown   keys are also much smaller  .  "
difficult to use these keys,"find, use",difficult,keys,keyboard,NEGATIVE,I find it extremely   difficult to use these keys  .  
keys arent really lit up,"is, are, lit","bright, many",keys,keyboard,NEGATIVE,Unfortunately it isnt very bright and many of the   keys arent really lit up   at all.  
keys takes more pressure,"Depressing, takes, m, using","other, accustomed",keys,keyboard,NEGATIVE,Depressing all other   keys takes more pressure   than Im accustomed to using.  
keys is different,is,different,keys,keyboard,POSITIVE,The distance between keys and the size of some   keys is different   than the Elite.  
keys are too difficult to press,"are, press, is","difficult, unusable",keys,keyboard,NEGATIVE,The   keys are too difficult to press   and the space bar is essentially unusable.  
keys is extremely minor,"is, feels","minor, standard",keys,keyboard,NEGATIVE,"The curve of the   keys is extremely minor  , so much so that it feels (on the wrists and hands) almost exactly like a standard keyboard.  "
printing etc on the keys is also VERY bad,is,bad,keys,keyboard,NEGATIVE, The  printing etc on the keys is also VERY bad  .  
keys are just too hard,"m, going, return, are, push",hard,keys,keyboard,NEGATIVE,"unfortunately, im going to return it to the store primarily because the   keys are just too hard   to push  especially the spacebar.  "
keys are a bit sticky,"am, are, is, understand, loosen","smoth, pleased, sticky, touchy",keys,keyboard,NEGATIVE,"( very smoth transaction no hassle) I am pleased with the performance but the   keys are a bit sticky   and the mouse is very touchy, but i understand that the keyboard will loosen up over time.  "
keys went dead,"started, using, went","dead, less, light",keys,keyboard,NEGATIVE,I started using it and two   keys went dead   after less than 6 months of light use.  
keys were loose,"were, got, had, reconnect","few, loose",keys,keyboard,NEGATIVE,"A few   keys were loose   in the box when I got it, and I had to reconnect them manually.  "
keys were tight,were,tight,keys,keyboard,POSITIVE,"The   keys were tight  , with no play.  "
keys either didnt work,"dried, did, work, generated","most, random",keys,keyboard,NEGATIVE,"Even after it dried out, most of the   keys either didnt work  , or generated seemingly random keypresses.  "
keys stopped working,"stopped, working, was",humid,keys,keyboard,NEGATIVE,Some of the   keys stopped working   because it was humid.  
stuck keys,"has, missing","bad, stuck",keys,keyboard,NEGATIVE,The keyboard has a bad problem with missing keystrokes and with   stuck keys  .  
keys are difficult to type,are,"Several, difficult, such",keys,keyboard,NEGATIVE,"Several   keys are difficult to type  , such as!  "
keys did not work,"was, did",second,keys,keyboard,NEGATIVE,This was the second keyboard and some of the   keys did not work  .  
keys are too small,"liked, hated, finding, closing, are","extra, top, small",keys,keyboard,NEGATIVE," Finally, I liked the placement of an extra set of EQUAL, PARENTHESIS and BACKSPACE at the top right corner (especially the parenthesis, I always hated finding the opening and closing one among the numbers) Now, THE BAD:  For some reason the ENTER and RIGHT SHIFT   keys are too small  !  "
keys really bothered my right handwrist,"have, missed, being, raised, bothered, am, sending",right,keys,keyboard,NEGATIVE,I also must have missed the part about the center of the keyboard being raised and the shape and placement of the   keys really bothered my right handwrist    so I am sending it back.  
keys are not durable,"is, painted, are, rub","great, durable",keys,keyboard,NEGATIVE,"This is a great keyboard, but the painted on letters on the   keys are not durable   and will soon rub off.  "
keys to not function,"is, is, grounded, causes, function",certain,keys,keyboard,NEGATIVE,"Generally, it is the way the keyboard is grounded internally, which causes certain   keys to not function   after time.  "
faulty keys,work,"faulty, long",keys,keyboard,NEGATIVE,"My two   faulty keys  work now, but for how long?  "
keys was sluggish,"worked, was, jump","sluggish, multiple, same",keys,keyboard,NEGATIVE,The laser pointer never worked from day one and the keyboard   keys was sluggish   and would then jump with multiple entries for the same key.  
keys had become sticky,"came, work, found, had, become, had, been, spilled",sticky,keys,keyboard,NEGATIVE,"On Monday, I came to work and found that some of my keyboards   keys had become sticky  , as if something had been spilled on them.  "
keys are too large,"are, are, seems, be, geared, making","large, small",keys,keyboard,NEGATIVE,"Some   keys are too large   and others are too small, and everything about this keyboard seems to be geared towards making the product look pretty.  "
keys are mushed,"does, are, mushed, be, is","technical, super, tiny, big",keys,keyboard,NEGATIVE,"For someone like me, who does a lot of technical work, the fact that the control   keys are mushed   to be super tiny is a big problem.  "
keys started to have problems,"is, started, have, have, hit","few, harder, normal",keys,keyboard,NEGATIVE,"The problem is that after a few months some   keys started to have problems  , I have to hit them harder than normal to type.  "
keys had the letters worn off,"came, was, broke, had","back, worn",keys,keyboard,NEGATIVE,"The keyboard came with dirt inside the keys, one of the back risers was broke, and two   keys had the letters worn off  .  "
sending random keys,"has, works, starts, go, sending, throwing","short, few, fine, few, random",keys,keyboard,NEGATIVE,"It has short periods of a few minutes where it works fine but then a few minutes after a movie starts, it will go back to   sending random keys   and functions to the PC throwing it into chaos.  "
keys just popped out,"walked, popped, recommended, going",elite,keys,keyboard,NEGATIVE,"one day my cat walked on top of the keyboard and one of my   keys just popped out   of the socket permanently, not recommended, and going back to the elite keyboard.  "
keys themselves are much too firm,are,firm,keys,keyboard,NEGATIVE,"However, the   keys themselves are much too firm  !  "
shift keys and the question mark key stopped working,"enter, stopped, working","routine, key, key",keys,keyboard,NEGATIVE,"this morning, after a routine cleaning, the enter key, both   shift keys and the question mark key stopped working  .  "
keys are a little too small,"use, writing, do, pay, think, are","much, other, little, small",keys,keyboard,NEGATIVE,"I use the keyboard primarily for writing, so I dont pay much attention to the other keys or their position; although, I think some of the   keys are a little too small  .  "
keys in general  are lousy,are,"general, lousy",keys,keyboard,NEGATIVE,The    keys in general  are lousy  .  
sizing of the keys,"was, sizing, are, made, typing, find, going","ergonomic, pleasant, larger, difficult, larger, easier",keys,keyboard,POSITIVE,"Second, the ergonomic design of the keyboard was quite pleasant, but the spacing and the   sizing of the keys   (some letter keys are larger than others) made typing a bit difficult; larger hands may find it a bit easier going.  "
keys are smaller,"did, notice, purchasing, are","smaller, normal",keys,keyboard,NEGATIVE,But i didnt notice before purchasing that the HomeEndDelete and arrows   keys are smaller   than normal size.  
stuck keys,"are, trying, make, work, work, are, being, transmitted, end, typing","promising, low, backlit, rechargable, great, ridicilous, effective, stuck, Overall, nice",keys,keyboard,POSITIVE,"on paper the promising features are:  extremly low form factor  30 meters range  backlit  rechargable All sounds great but heres my findings after 1 week of trying to make it work:  quite ridicilous effective range  wont work correctly from within 10ft  50 of keys type are not being transmitted, you end up typing everything twice    stuck keys    electronically not physically Overall nice try, but no cigar.  "
Keys dont have that nice soft feeling,"are, have, do, have, press, including, have, feels, hit, are, have, go, find, hit, looking","several, nice, soft, other, previous, clunky, small, hard, up, unusual, appropriate, right",keys,keyboard,POSITIVE,There are several issues I have with this keyboard: *   Keys dont have that nice soft feeling   when you press them like other keyboards (including a previous Microsoft  model) have  very clunky feeling * Spacebar feels small and hard to hit for touch typing (programmer) * the arrow keys and homeendpage updown keys are in an unusual orientation so now I have to go look and find the appropriate key where before I could naturally hit the right key without looking.  
keys are a bit stiff,"are, resulting, registering","stiff, occasional, due",keys,keyboard,NEGATIVE,"The   keys are a bit stiff  , resulting in occasional typos due to the keypress not registering.  "
heavy keys,"has, requiring, am, used","heavy, more",keys,keyboard,NEGATIVE,"This Microsoft keyboard has   heavy keys  , requiring more force per stroke than I am used to.  "
heavy keys,"got, help, m, forced","heavy, harder, more, deliberate, normal",keys,keyboard,NEGATIVE,"I originally got this keyboard to help with my wrist problem, but because of the   heavy keys   Im forced to type with harder and more deliberate action than my normal typing style.  "
feedback of the keys,"did, give, adapt, is, have, is",tactile,keys,keyboard,POSITIVE,"First off, I did give this some time to adapt to (around 1 week) and it is not the positioning that I have an issue with, it is the tactile   feedback of the keys  .  "
